Análise Dinâmica da Rede
Iteração, Distância Média, Tamanho do Maior Componente
0, 4.722206384227009, 1392
1, 4.722884524874709, 1391
2, 4.723046961998436, 1390
3, 4.719779535792756, 1389
4, 4.716967352256129, 1388
5, 4.704019493519575, 1384
6, 4.6993919341016035, 1383
7, 4.7004131949938746, 1382
8, 4.703007692388418, 1381
9, 4.702130298157665, 1380
10, 4.702256846687456, 1379
11, 4.702985919412113, 1378
12, 4.70020773167148, 1377
13, 4.697780126849894, 1376
14, 4.695543734286092, 1375
15, 4.6975948077447045, 1374
16, 4.695358668631567, 1372
17, 4.696735826052698, 1371
18, 4.697274903627242, 1370
19, 4.696518353346234, 1369
20, 4.697106337310865, 1367
21, 4.69762388149485, 1365
22, 4.698715314458576, 1364
23, 4.69773314673622, 1363
24, 4.694009004780756, 1362
25, 4.695199247957817, 1361
26, 4.693605808769424, 1360
27, 4.899118309767169, 1356
28, 4.899650618367335, 1355
29, 4.900357303734414, 1353
30, 4.899503545478037, 1352
31, 4.898730707020863, 1351
32, 4.892574472174176, 1350
33, 4.891589109858275, 1349
34, 4.889488610979658, 1347
35, 4.889631401315753, 1346
36, 4.887577447335811, 1345
37, 4.8878765113640394, 1344
38, 4.880741705343528, 1341
39, 4.877396809826893, 1340
40, 4.878178057158422, 1339
41, 4.876979561810402, 1338
42, 4.881820502599886, 1337
43, 4.8829296463253264, 1336
44, 4.883678385526338, 1335
45, 4.886389888326654, 1334
46, 4.886793770514701, 1333
47, 4.886742114014841, 1332
48, 4.896494805759704, 1331
49, 4.881760652254837, 1328
50, 4.8775166202357125, 1327
51, 4.87997172087779, 1327
52, 4.880363129286548, 1326
53, 4.881348686085619, 1325
54, 4.877382037071291, 1324
55, 4.876257041781716, 1322
56, 4.876768059092056, 1321
57, 4.876257265605257, 1320
58, 4.874843106643765, 1319
59, 4.875824832959443, 1318
60, 4.87342744978571, 1317
61, 4.87305465346077, 1316
62, 4.873738794265905, 1315
63, 4.8735511064278185, 1314
64, 4.873208580238887, 1313
65, 4.8709743159758006, 1311
66, 4.869571201138331, 1310
67, 4.869504932915619, 1309
68, 4.865079587916394, 1308
69, 4.8658607029412835, 1307
70, 4.8668462093608635, 1306
71, 4.868076018142027, 1306
72, 4.868098159509202, 1305
73, 4.865403364326445, 1303
74, 4.866321664417422, 1302
75, 4.8633110624963045, 1301
76, 4.861143631879922, 1299
77, 4.856335132356721, 1297
78, 4.8534807295087425, 1297
79, 4.854664187997521, 1296
80, 4.854322593735268, 1295
81, 4.855544837198516, 1294
82, 4.855427773747183, 1293
83, 4.855427773747183, 1293
84, 4.85076888896895, 1291
85, 4.854031428726072, 1290
86, 4.855243122647919, 1289
87, 4.856932922150313, 1288
88, 4.859847881587012, 1288
89, 4.858472269047697, 1287
90, 4.8586441231823105, 1286
91, 4.858536674060875, 1285
92, 4.8598907836238565, 1284
93, 4.861194572490616, 1283
94, 4.860663653712425, 1282
95, 4.863427010148322, 1281
96, 4.862155492572322, 1280
97, 4.866157417093998, 1279
98, 4.86632279538188, 1278
99, 4.864892000500782, 1277
