Análise de Ataque e Falha (Distância Média)
Nós Removidos, Falha Aleatória, Ataque Grau, Ataque Betweenness
0, 4.7230796841349605, 4.7230796841349605, 4.7230796841349605
1, 4.720073419436939, 4.930871005823857, 4.930871005823857
2, 4.720897444517427, 5.178154913160284, 5.178154913160284
3, 4.719488685509476, 5.359964047062984, 5.359964047062984
4, 4.72038017938392, 5.4392323397132865, 5.5180196147938085
5, 4.717785987213504, 5.592238743671778, 5.622487567986311
6, 4.718050834849682, 5.704435571137948, 5.704435571137948
7, 4.718907486416511, 5.802444553770876, 5.782903737456873
8, 4.720537968740218, 5.906923685545074, 5.899164939010744
9, 4.721718932203177, 6.001266695958312, 5.960408533069764
10, 4.722377264551045, 6.066474264743097, 6.063061775343049
11, 4.729652268590369, 6.128604082059466, 6.212082691879842
12, 4.726556055788182, 6.244049708710688, 6.336956484394415
13, 4.735273407531187, 6.415729911902087, 6.472565304293886
14, 4.733770395871727, 6.551577809893003, 6.588101851043141
15, 4.735232457762979, 6.7529347015417525, 6.783145398452018
16, 4.73973044397463, 6.850772663097688, 6.911521480344795
17, 4.739053063384941, 6.886810049853528, 7.024398194614481
18, 4.738812892856727, 7.052668543622083, 7.1492400036937855
19, 4.739753980876504, 7.161672579902914, 7.25259662821826
20, 4.740130312831603, 7.28542159180457, 7.378881337039018
