Análise de Ataque e Falha (Fração do Maior Componente)
Nós Removidos, Falha Aleatória, Ataque Grau, Ataque Betweenness
0, 1.0, 1.0, 1.0
1, 1.0, 0.9978448275862069, 0.9978448275862069
2, 1.0, 0.9978432782171099, 0.9978432782171099
3, 1.0, 0.9920863309352518, 0.9920863309352518
4, 1.0, 0.9920806335493161, 0.9827213822894169
5, 0.9992795389048992, 0.9827089337175793, 0.9812680115273775
6, 0.9992790194664743, 0.9805335255948089, 0.9805335255948089
7, 0.9992784992784993, 0.9696969696969697, 0.9776334776334776
8, 0.9992779783393502, 0.9696750902527076, 0.9776173285198556
9, 0.9992774566473989, 0.9667630057803468, 0.9754335260115607
10, 0.9992769342010123, 0.9645697758496024, 0.9718004338394793
11, 0.9992764109985528, 0.9602026049204052, 0.9681620839363242
12, 0.999275887038378, 0.9485879797248371, 0.9572773352643013
13, 0.9992753623188406, 0.9427536231884058, 0.9565217391304348
14, 0.9992748368382887, 0.9383611312545322, 0.9506889050036258
15, 0.9992743105950653, 0.9375907111756169, 0.9361393323657474
16, 0.9992737835875091, 0.9360929557007989, 0.9317356572258533
17, 0.9992732558139535, 0.936046511627907, 0.9287790697674418
18, 0.9992727272727273, 0.9301818181818182, 0.9272727272727272
19, 0.9992721979621543, 0.925764192139738, 0.925764192139738
20, 0.9992716678805535, 0.9249817916970139, 0.9227967953386744
