Modelo SIR - Evolução Temporal
Passo, Suscetíveis, Infectados, Recuperados
0, 1387, 6, 0
1, 1387, 5, 1
2, 1386, 6, 1
3, 1383, 8, 2
4, 1381, 10, 2
5, 1375, 15, 3
6, 1365, 21, 7
7, 1358, 28, 7
8, 1348, 37, 8
9, 1329, 54, 10
10, 1288, 94, 11
11, 1237, 143, 13
12, 1176, 204, 13
13, 1091, 283, 19
14, 991, 377, 25
15, 892, 459, 42
16, 787, 552, 54
17, 685, 628, 80
18, 600, 691, 102
19, 523, 719, 151
20, 458, 747, 188
21, 414, 759, 220
22, 378, 766, 249
23, 349, 760, 284
24, 323, 747, 323
25, 305, 735, 353
26, 276, 724, 393
27, 246, 717, 430
28, 236, 692, 465
29, 226, 675, 492
30, 216, 658, 519
31, 207, 634, 552
32, 196, 615, 582
33, 187, 589, 617
34, 176, 562, 655
35, 172, 532, 689
36, 167, 514, 712
37, 160, 500, 733
38, 157, 480, 756
39, 157, 457, 779
40, 152, 435, 806
41, 148, 413, 832
42, 147, 392, 854
43, 145, 383, 865
44, 144, 364, 885
45, 141, 356, 896
46, 138, 348, 907
47, 138, 336, 919
48, 137, 324, 932
49, 136, 304, 953
